ID,Mission,Type,Subtype,Weight (g),Pristine (%)
15386,Apollo15,Basalt,KREEP,7.5,38.99
15387,Apollo15,Basalt,Olivine,2,75.8
15388,Apollo15,Basalt,Pigeonite,9,22.6
15389,Apollo15,Breccia,Agglomerate,2.8,73.57
15390,Apollo15,Breccia,Agglomerate,3.5,98
15391,Apollo15,Breccia,Agglomerate,0.3,0
15392,Apollo15,Breccia,Glass,0.4,100
15400,Apollo15,Soil,Unsieved,47.5,99.24
15401,Apollo15,Soil,<1mm,86.4,76.81
15402,Apollo15,Soil,1-2mm,4.8,88.54
15403,Apollo15,Soil,2-4mm,6.1,0
15404,Apollo15,Soil,4-10mm,7.9,77.63
15405,Apollo15,Breccia,ImpactMelt,513.1,35.91
15410,Apollo15,Soil,Unsieved,56.2,100
15411,Apollo15,Soil,<1mm,103.3,89.81
15412,Apollo15,Soil,1-2mm,7.1,84.51
15413,Apollo15,Soil,2-4mm,6.7,91.79
15414,Apollo15,Soil,4-10mm,4,3.13
15415,Apollo15,Crustal,Anorthosite,269.4,67.07
15417,Apollo15,Breccia,Regolith,1.3,73.08
15418,Apollo15,Breccia,ImpactMelt,1141,78.19
15419,Apollo15,Breccia,Regolith,17.7,100
15421,Apollo15,Soil,<1mm,254.7,82.48
15422,Apollo15,Soil,1-2mm,15.9,97.48
15423,Apollo15,Soil,2-4mm,18.3,99.33
15424,Apollo15,Soil,4-10mm,19.5,50.71
15425,Apollo15,Breccia,Clod,136.3,84.65
15426,Apollo15,Breccia,Clod,223.6,67.31
15427,Apollo15,Breccia,Clod,115.9,84.58
15431,Apollo15,Soil,<1mm,475.7,97.06
15432,Apollo15,Soil,1-2mm,39.7,100
15433,Apollo15,Soil,2-4mm,31.2,78.53
15434,Apollo15,Soil,4-10mm,51.6,9.89
15435,Apollo15,Breccia,Regolith,206.8,97.17
15436,Apollo15,Breccia,ImpactMelt,3.5,90.23
15437,Apollo15,Crustal,Anorthosite,1,80
15445,Apollo15,Breccia,ImpactMelt,287.2,84.05
15455,Apollo15,Breccia,ImpactMelt,937.2,83.97
15459,Apollo15,Breccia,Regolith,5854,89.12
15465,Apollo15,Breccia,Regolith,376,85.74
15466,Apollo15,Breccia,Regolith,119.2,93.35
15467,Apollo15,Breccia,Regolith,1.1,82.46
15468,Apollo15,Breccia,Regolith,1.3,67.69
15470,Apollo15,Soil,Unsieved,82.2,97.82
15471,Apollo15,Soil,<1mm,153,68.84
15472,Apollo15,Soil,1-2mm,6.1,72.82
15473,Apollo15,Soil,2-4mm,4.5,70
15474,Apollo15,Soil,4-10mm,4.7,88.81
15475,Apollo15,Basalt,Pigeonite,406.8,49.6
15476,Apollo15,Basalt,Pigeonite,266.3,82.69
15485,Apollo15,Basalt,Pigeonite,104.9,88.88
15486,Apollo15,Basalt,Pigeonite,46.8,73.57
15495,Apollo15,Basalt,Pigeonite,908.9,75.17
15498,Apollo15,Breccia,Regolith,2340,34.11
15499,Apollo15,Basalt,Pigeonite,2024,73.14
15500,Apollo15,Soil,Unsieved,24.8,100
15501,Apollo15,Soil,<1mm,103,74.02
15502,Apollo15,Soil,1-2mm,4.4,62.5
15503,Apollo15,Soil,2-4mm,3.8,100
15504,Apollo15,Soil,4-10mm,4.1,100.73
15505,Apollo15,Breccia,Regolith,1147,88.72
15506,Apollo15,Breccia,Regolith,22.9,100
15507,Apollo15,Breccia,Glass,3.9,100
15508,Apollo15,Breccia,Regolith,1.4,100
15510,Apollo15,Soil,Unsieved,72.3,100
15511,Apollo15,Soil,<1mm,193.1,96.7
15512,Apollo15,Soil,1-2mm,4.9,100
15513,Apollo15,Soil,2-4mm,4.4,100
15514,Apollo15,Soil,4-10mm,1.1,79.91
15515,Apollo15,Breccia,Clod,144.7,79.74
15528,Apollo15,Breccia,Regolith,4.7,89.13
15529,Apollo15,Basalt,Olivine,1531,98.37
15530,Apollo15,Soil,Unsieved,138,100
15531,Apollo15,Soil,<1mm,136,83.75
15532,Apollo15,Soil,1-2mm,6.3,80.21
15533,Apollo15,Soil,2-4mm,5.4,90.93
15534,Apollo15,Soil,4-10mm,6,91.22
15535,Apollo15,Basalt,Olivine,404.4,82.62
15536,Apollo15,Basalt,Olivine,317.2,93.97
15537,Apollo15,Basalt,Olivine,1.9,65.32
15538,Apollo15,Basalt,Olivine,2.6,78.35
15545,Apollo15,Basalt,Olivine,746.6,72.84
15546,Apollo15,Basalt,Olivine,27.8,69.7
15547,Apollo15,Basalt,Olivine,20.1,70.29
15548,Apollo15,Basalt,Olivine,3.3,76.88
15555,Apollo15,Basalt,Olivine,9614,46.61
15556,Apollo15,Basalt,Olivine,1542,85.14
15557,Apollo15,Basalt,Olivine,2518,94.81
15558,Apollo15,Breccia,Regolith,1333,97.61
15565,Apollo15,Breccia,Regolith,822.6,75.17
15595,Apollo15,Basalt,Pigeonite,237.6,86.86
15596,Apollo15,Basalt,Pigeonite,224.8,89.25
15597,Apollo15,Basalt,Pigeonite,145.7,77.64
15598,Apollo15,Basalt,Olivine,135.7,90.01
15600,Apollo15,Soil,Unsieved,417.5,92.26
15601,Apollo15,Soil,<1mm,802,82.06
15602,Apollo15,Soil,1-2mm,32.9,84.73
15603,Apollo15,Soil,2-4mm,25.5,95.68
15604,Apollo15,Soil,4-10mm,21.5,90.07
15605,Apollo15,Basalt,Olivine,6.1,73.16
15606,Apollo15,Basalt,Olivine,10.1,87.03
15607,Apollo15,Basalt,Olivine,14.8,49.67
15608,Apollo15,Basalt,Pigeonite,1.2,30.83
15609,Apollo15,Basalt,Olivine,1.1,69.09
15610,Apollo15,Basalt,Olivine,1.5,82
15612,Apollo15,Basalt,Olivine,5.9,82.37
15613,Apollo15,Basalt,Olivine,1,80
15614,Apollo15,Basalt,Olivine,9.7,92.78
15615,Apollo15,Basalt,Olivine,1.7,88.24
15616,Apollo15,Basalt,Olivine,8,88.88
15617,Apollo15,Basalt,Olivine,3.1,73.55
15618,Apollo15,Basalt,Olivine,0.8,100
15619,Apollo15,Basalt,Olivine,0.6,100
15620,Apollo15,Basalt,Olivine,6.6,9.55
15621,Apollo15,Basalt,Olivine,1.6,81.25
15622,Apollo15,Basalt,Olivine,29.5,73.13
15623,Apollo15,Basalt,Olivine,3,68.33
15624,Apollo15,Basalt,Olivine,0.2,0
15625,Apollo15,Basalt,Olivine,0.5,100
15626,Apollo15,Basalt,Olivine,0.6,100
15627,Apollo15,Basalt,Olivine,0.4,100
15628,Apollo15,Basalt,Olivine,0.4,100
15629,Apollo15,Basalt,Olivine,0.4,100
15630,Apollo15,Basalt,Olivine,23.2,74.94
15632,Apollo15,Basalt,Olivine,2.3,89.13
15633,Apollo15,Basalt,Olivine,7.4,74.76
15634,Apollo15,Basalt,Olivine,5.2,89.42
15635,Apollo15,Basalt,Olivine,0.5,100
15636,Apollo15,Basalt,Olivine,336.7,95.49
15637,Apollo15,Basalt,Olivine,0.9,100
15638,Apollo15,Basalt,Olivine,3.6,1.67
15639,Apollo15,Basalt,Olivine,7,93.71
15640,Apollo15,Basalt,Olivine,0.5,0
15641,Apollo15,Basalt,Olivine,6.9,17.39
15642,Apollo15,Basalt,Olivine,1.9,84.21
15643,Apollo15,Basalt,Olivine,17.9,90.7
15644,Apollo15,Basalt,Olivine,0.4,100
15645,Apollo15,Basalt,Olivine,0.5,100
15647,Apollo15,Basalt,Olivine,58.2,84.56
15648,Apollo15,Basalt,Olivine,9.1,94.62
15649,Apollo15,Basalt,Olivine,6.2,83.39
15650,Apollo15,Basalt,Olivine,3.4,84.12
15651,Apollo15,Basalt,Olivine,1.6,71.69
15652,Apollo15,Basalt,Olivine,0.7,100
15653,Apollo15,Basalt,Olivine,0.4,100
15654,Apollo15,Basalt,Olivine,0.2,100
15655,Apollo15,Basalt,Olivine,0.4,100
15656,Apollo15,Basalt,Olivine,0.2,100
15658,Apollo15,Basalt,Olivine,11.6,90.41
15659,Apollo15,Basalt,Olivine,12.6,86.83
15660,Apollo15,Basalt,Olivine,8.9,100
15661,Apollo15,Basalt,Olivine,5.9,66.95
15662,Apollo15,Basalt,Olivine,4.9,76.53
15663,Apollo15,Basalt,Olivine,10.3,84.85
15664,Apollo15,Basalt,Olivine,7.4,80.68
15665,Apollo15,Basalt,Olivine,10.2,94.12
15666,Apollo15,Basalt,Pigeonite,3.9,77.77
15667,Apollo15,Basalt,Pigeonite,1.1,84.55
15668,Apollo15,Basalt,Olivine,15.1,71.07
15669,Apollo15,Basalt,Olivine,4.4,85
15670,Apollo15,Basalt,Olivine,2,71
15671,Apollo15,Basalt,Olivine,6.1,85.08
15672,Apollo15,Basalt,Olivine,21.4,64.57
15673,Apollo15,Basalt,Olivine,5.9,83.05
15674,Apollo15,Basalt,Olivine,35.7,71.77
15675,Apollo15,Basalt,Olivine,34.5,83.21
15676,Apollo15,Basalt,Olivine,25.3,70.56
15677,Apollo15,Basalt,Olivine,6.4,80.47
15678,Apollo15,Basalt,Olivine,7.5,90.4
15679,Apollo15,Basalt,Olivine,0.7,100
15680,Apollo15,Basalt,Olivine,0.3,100
15681,Apollo15,Basalt,Olivine,0.3,100
15682,Apollo15,Basalt,Pigeonite,50.6,90.01
15683,Apollo15,Basalt,Olivine,22,72.17
15684,Apollo15,Breccia,Agglomerate,1.4,74
15685,Apollo15,Breccia,Regolith,0.8,116.25
15686,Apollo15,Breccia,Regolith,0.9,117.22
15687,Apollo15,Breccia,Agglomerate,1.4,100.43
15688,Apollo15,Breccia,Agglomerate,5.3,89.57
15689,Apollo15,Breccia,Regolith,2.8,73.11
15695,Apollo15,Basalt,Olivine,10.7,100
15696,Apollo15,Basalt,Olivine,12.8,100
15697,Apollo15,Basalt,Olivine,4.1,100
15698,Apollo15,Breccia,Glass,3.9,100
60001,Apollo16,Core,unsieved,30.1,45.49
60002,Apollo16,Core,unsieved,211.8,74.02
60003,Apollo16,Core,unsieved,215.9,74.88
60004,Apollo16,Core,unsieved,202.7,72.86
60005,Apollo16,Core,unsieved,77.3,95.96
60006,Apollo16,Core,unsieved,165.6,77.33
60007,Apollo16,Core,unsieved,105.7,57.23
60009,Apollo16,Core,unsieved,759.8,78.3
60010,Apollo16,Core,unsieved,635.3,78.28
60013,Apollo16,Core,unsieved,757.3,76.25
60014,Apollo16,Core,unsieved,570.3,74.82
60015,Apollo16,Breccia,Anorthosite,5574,58.66
60016,Apollo16,Breccia,Fragmental,4307,49.57
60017,Apollo16,Breccia,ImpactMelt,2102,95.59
60018,Apollo16,Breccia,ImpactMelt,1501,95.44
60019,Apollo16,Breccia,Regolith,1887,96.48
60025,Apollo16,Breccia,Anorthosite,1836,43.61
60035,Apollo16,Breccia,Fragmental,1052,97.69
60050,Apollo16,Soil,Unsieved,0,100
60051,Apollo16,Soil,<1mm,195.3,89.25
60052,Apollo16,Soil,1-2mm,11.43,91.25
60053,Apollo16,Soil,2-4mm,7.41,91.16
60054,Apollo16,Soil,4-10mm,8.4,97.26
60055,Apollo16,Breccia,Anorthosite,35.48,95.9
60056,Apollo16,Breccia,Anorthosite,16.07,95.74
60057,Apollo16,Crustal,Anorthosite,3.1,100
60058,Apollo16,Breccia,Fragmental,2.12,100
60059,Apollo16,Crustal,Anorthosite,1.05,100
60075,Apollo16,Breccia,Fragmental,183.8,96.16
60095,Apollo16,Breccia,Glass,46.6,91.29
60115,Apollo16,Breccia,ImpactMelt,132.5,96.96
60135,Apollo16,Breccia,Anorthosite,137.7,94.71
60215,Apollo16,Breccia,Anorthosite,385.8,95.09
60235,Apollo16,Breccia,ImpactMelt,70.13,94.6
60255,Apollo16,Breccia,Regolith,871,92.91
60275,Apollo16,Breccia,Regolith,255.2,94.44
60315,Apollo16,Breccia,ImpactMelt,787.7,89.27
60335,Apollo16,Breccia,ImpactMelt,317.8,85.48
60500,Apollo16,Soil,Unsieved,234.4,99.26
60501,Apollo16,Soil,<1mm,433.8,87.89
60502,Apollo16,Soil,1-2mm,17.69,89.7
60503,Apollo16,Soil,2-4mm,9.94,73.14
60504,Apollo16,Soil,4-10mm,6.63,93.82
60515,Apollo16,Breccia,Anorthosite,16.74,98.24
60516,Apollo16,Breccia,Anorthosite,7.91,97.22
60517,Apollo16,Breccia,Anorthosite,1.23,100
60518,Apollo16,Breccia,Anorthosite,1.12,78.3
60519,Apollo16,Breccia,Anorthosite,0.5,100
60525,Apollo16,Breccia,ImpactMelt,12.84,91.26
60526,Apollo16,Breccia,ImpactMelt,8.42,84.28
60527,Apollo16,Breccia,ImpactMelt,7.36,98.23
60528,Apollo16,Breccia,ImpactMelt,2.94,100
60529,Apollo16,Breccia,ImpactMelt,1.24,84.68
60535,Apollo16,Breccia,Fragmental,7.23,89.96
60600,Apollo16,Soil,Unsieved,182.6,99.2
60601,Apollo16,Soil,<1mm,330.2,56.74
60602,Apollo16,Soil,1-2mm,14.93,86.28
60603,Apollo16,Soil,2-4mm,8.57,84.85
60604,Apollo16,Soil,4-10mm,3.94,100
60615,Apollo16,Breccia,ImpactMelt,32.97,92.13
60616,Apollo16,Breccia,ImpactMelt,3.4,84.94
60617,Apollo16,Breccia,ImpactMelt,2.77,100
60618,Apollo16,Breccia,ImpactMelt,21.67,92.36
60619,Apollo16,Crustal,Anorthosite,28,90.75
60625,Apollo16,Breccia,ImpactMelt,117,93.26
60626,Apollo16,Breccia,ImpactMelt,15.87,87.37
60627,Apollo16,Breccia,ImpactMelt,12.09,97.34
60628,Apollo16,Breccia,Anorthosite,6.86,100
60629,Apollo16,Breccia,Anorthosite,4.92,92.68
60635,Apollo16,Breccia,ImpactMelt,15.05,67.18
60636,Apollo16,Breccia,ImpactMelt,35.65,87.46
60637,Apollo16,Breccia,Fragmental,7.98,91.23
60638,Apollo16,Breccia,Fragmental,0.72,100
60639,Apollo16,Breccia,Fragmental,175.1,97.17
60645,Apollo16,Breccia,ImpactMelt,33.5,97.67
60646,Apollo16,Breccia,ImpactMelt,3.39,100
60647,Apollo16,Breccia,ImpactMelt,1.76,100
60648,Apollo16,Breccia,ImpactMelt,2.84,100
60649,Apollo16,Breccia,ImpactMelt,1.03,100
60655,Apollo16,Breccia,ImpactMelt,8.63,97.34
60656,Apollo16,Breccia,ImpactMelt,11.23,98.04
60657,Apollo16,Breccia,Fragmental,6.05,98.02
60658,Apollo16,Breccia,ImpactMelt,5.47,94.33
60659,Apollo16,Breccia,Fragmental,22.2,98.78
60665,Apollo16,Breccia,Glass,90.1,99.02
60666,Apollo16,Breccia,ImpactMelt,15.95,88.42
60667,Apollo16,Breccia,ImpactMelt,7.66,90.21
60668,Apollo16,Breccia,ImpactMelt,2.91,100
60669,Apollo16,Breccia,ImpactMelt,2.54,100
60675,Apollo16,Breccia,ImpactMelt,1.3,100
60676,Apollo16,Breccia,ImpactMelt,8.92,97.2
60677,Apollo16,Breccia,ImpactMelt,5.23,98.47
60678,Apollo16,Breccia,ImpactMelt,1.25,100
60679,Apollo16,Breccia,ImpactMelt,2.96,100
61015,Apollo16,Breccia,ImpactMelt,1804,96.51
61016,Apollo16,Breccia,ImpactMelt,11729,95.23
61017,Apollo16,Crustal,Anorthosite,2.62,100
61135,Apollo16,Breccia,Fragmental,245.1,93.31
61140,Apollo16,Soil,Unsieved,74.13,98.49
61141,Apollo16,Soil,<1mm,134.7,71.89
61142,Apollo16,Soil,1-2mm,9.43,94.7
61143,Apollo16,Soil,2-4mm,5.38,90.71
61144,Apollo16,Soil,4-10mm,5.71,98.49
61155,Apollo16,Breccia,ImpactMelt,47.59,98.28
61156,Apollo16,Breccia,ImpactMelt,58.46,66.41
61157,Apollo16,Breccia,Fragmental,11.26,99.38
61158,Apollo16,Breccia,Fragmental,14.79,97.5
61160,Apollo16,Soil,Unsieved,52.79,97.63
61161,Apollo16,Soil,<1mm,90,90.74
61162,Apollo16,Soil,1-2mm,5.12,95.12
61163,Apollo16,Soil,2-4mm,3.6,100
61164,Apollo16,Soil,4-10mm,2.16,99.95
61175,Apollo16,Breccia,Fragmental,542.7,83.4
61180,Apollo16,Soil,Unsieved,93.4,98.79
61181,Apollo16,Soil,<1mm,156.2,92.09
61182,Apollo16,Soil,1-2mm,9.43,100
61183,Apollo16,Soil,2-4mm,6.23,100
61184,Apollo16,Soil,4-10mm,0,96.16
61195,Apollo16,Breccia,Regolith,587.9,96.18
61220,Apollo16,Soil,Unsieved,0,94.64
61221,Apollo16,Soil,<1mm,61,25.05
61222,Apollo16,Soil,1-2mm,0,42.17
61223,Apollo16,Soil,2-4mm,0,87.48
61224,Apollo16,Soil,4-10mm,0,89.6
61225,Apollo16,Breccia,ImpactMelt,3.52,87.36
61226,Apollo16,Crustal,Anorthosite,1.53,100
61240,Apollo16,Soil,Unsieved,160.8,98.39
61241,Apollo16,Soil,<1mm,247.1,76.66
61242,Apollo16,Soil,1-2mm,17.26,74.39
61243,Apollo16,Soil,2-4mm,13.8,80.4
61244,Apollo16,Soil,4-10mm,0,95.47
61245,Apollo16,Breccia,ImpactMelt,8.25,100
61246,Apollo16,Breccia,ImpactMelt,6.05,100
61247,Apollo16,Breccia,ImpactMelt,2.48,95.89
61248,Apollo16,Breccia,Fragmental,1.71,100
61249,Apollo16,Breccia,ImpactMelt,1.17,61.62
61255,Apollo16,Breccia,Unclassified,1.13,100
61280,Apollo16,Soil,Unsieved,68.49,98.06
61281,Apollo16,Soil,<1mm,169.6,94.73
61282,Apollo16,Soil,1-2mm,10.2,91.68
61283,Apollo16,Soil,2-4mm,6.74,100
61284,Apollo16,Soil,4-10mm,0,102.1
61295,Apollo16,Breccia,Regolith,187,92.03
61500,Apollo16,Soil,Unsieved,267.8,88.17
61501,Apollo16,Soil,<1mm,466.9,83.57
61502,Apollo16,Soil,1-2mm,27.43,94.29
61503,Apollo16,Soil,2-4mm,20.08,91.42
61504,Apollo16,Soil,4-10mm,0,95.38
61505,Apollo16,Breccia,ImpactMelt,1.65,100
61515,Apollo16,Breccia,Fragmental,2,100
61516,Apollo16,Breccia,Fragmental,2.38,80.97
61517,Apollo16,Breccia,Fragmental,0.47,100
61518,Apollo16,Breccia,Fragmental,0.16,100
61519,Apollo16,Breccia,Fragmental,0.33,100
61525,Apollo16,Breccia,Fragmental,10.35,96.79
61526,Apollo16,Breccia,Fragmental,4.08,100
61527,Apollo16,Breccia,Fragmental,0.52,100
61528,Apollo16,Breccia,Fragmental,0.24,100
61529,Apollo16,Breccia,Fragmental,0.28,100
61535,Apollo16,Breccia,Fragmental,0.23,86.96
61536,Apollo16,Breccia,Fragmental,85.99,99.47
61537,Apollo16,Breccia,Fragmental,6.62,100
61538,Apollo16,Breccia,Fragmental,4.76,92.54
61539,Apollo16,Breccia,Unclassified,5.78,100
61545,Apollo16,Breccia,Fragmental,3.61,100
61546,Apollo16,Breccia,ImpactMelt,110.7,99.08
61547,Apollo16,Breccia,ImpactMelt,17.93,93.35
61548,Apollo16,Breccia,ImpactMelt,24.18,98.17
61549,Apollo16,Breccia,ImpactMelt,3.76,91.22
61555,Apollo16,Breccia,ImpactMelt,3.46,100
61556,Apollo16,Breccia,ImpactMelt,2.23,98.66
61557,Apollo16,Breccia,ImpactMelt,0.93,100
61558,Apollo16,Breccia,ImpactMelt,3,98
61559,Apollo16,Breccia,ImpactMelt,0.62,82.26
61565,Apollo16,Breccia,Unclassified,0.88,100
61566,Apollo16,Breccia,ImpactMelt,0.66,100
61567,Apollo16,Breccia,ImpactMelt,0.19,100
61568,Apollo16,Breccia,ImpactMelt,19.32,93.5
61569,Apollo16,Breccia,ImpactMelt,12.02,93.59
61575,Apollo16,Breccia,ImpactMelt,5.26,94.75
61576,Apollo16,Basalt,Plagioclase,5.87,98.02
61577,Apollo16,Crustal,Anorthosite,0.21,76.19
62230,Apollo16,Soil,Unsieved,4.64,15.95
62231,Apollo16,Soil,<1mm,86.74,85.33
62232,Apollo16,Soil,1-2mm,6.96,100
62233,Apollo16,Soil,2-4mm,5.32,100
62234,Apollo16,Soil,4-10mm,8.46,98.27
62235,Apollo16,Breccia,ImpactMelt,319.6,81.92
62236,Apollo16,Crustal,Anorthosite,57.27,76.76
62237,Apollo16,Crustal,Anorthosite,62.35,62.81
62238,Apollo16,Crustal,Anorthosite,1.57,100
62240,Apollo16,Soil,Unsieved,0,90.56
62241,Apollo16,Soil,<1mm,243.4,88.81
62242,Apollo16,Soil,1-2mm,21.74,83.95
62243,Apollo16,Soil,2-4mm,19.6,92.12
62244,Apollo16,Soil,4-10mm,16.37,98.05
62245,Apollo16,Breccia,ImpactMelt,6.03,80.46
62246,Apollo16,Crustal,Anorthosite,4.59,95.49
62247,Apollo16,Breccia,Fragmental,2.11,100
62248,Apollo16,Breccia,Fragmental,1.61,100
62249,Apollo16,Breccia,Fragmental,1.41,100
62255,Apollo16,Breccia,Fragmental,1239,93.76
62275,Apollo16,Breccia,Anorthosite,443,98.01
62280,Apollo16,Soil,Unsieved,143,98.78
62281,Apollo16,Soil,<1mm,218.5,70.71
62282,Apollo16,Soil,1-2mm,21.71,93.62
62283,Apollo16,Soil,2-4mm,13.11,92.59
62284,Apollo16,Soil,4-10mm,14.3,96.62
62285,Apollo16,Breccia,Regolith,3.52,100
62286,Apollo16,Breccia,Regolith,2.92,100
62287,Apollo16,Breccia,ImpactMelt,2.47,95.96
62288,Apollo16,Breccia,Fragmental,1.94,100
62289,Apollo16,Breccia,Regolith,1.14,100
62295,Apollo16,Breccia,ImpactMelt,250.8,77.7
62305,Apollo16,Breccia,Fragmental,0.81,100
62315,Apollo16,Breccia,Fragmental,0.77,100
63320,Apollo16,Soil,Unsieved,320,96.44
63321,Apollo16,Soil,<1mm,25.67,2.21
63322,Apollo16,Soil,1-2mm,2.65,81.13
63323,Apollo16,Soil,2-4mm,2.02,100
63324,Apollo16,Soil,4-10mm,1.15,100
63335,Apollo16,Breccia,ImpactMelt,65.4,80.3
63340,Apollo16,Soil,Unsieved,149.7,94.25
63341,Apollo16,Soil,<1mm,25.88,53.13
63342,Apollo16,Soil,1-2mm,2.52,100
63343,Apollo16,Soil,2-4mm,2.13,100
63344,Apollo16,Soil,4-10mm,0.96,72.92
63355,Apollo16,Breccia,ImpactMelt,68.24,77.84
63500,Apollo16,Soil,Unsieved,201.8,93.5
63501,Apollo16,Soil,<1mm,342.5,67.95
63502,Apollo16,Soil,1-2mm,25.29,84.24
63503,Apollo16,Soil,2-4mm,14.53,75.49
63504,Apollo16,Soil,4-10mm,17.34,90.17
63505,Apollo16,Breccia,ImpactMelt,5.41,87.65
63506,Apollo16,Breccia,ImpactMelt,4.9,95.2
63507,Apollo16,Breccia,Fragmental,2.78,82.12
63508,Apollo16,Breccia,ImpactMelt,2.61,90.57
63509,Apollo16,Breccia,ImpactMelt,2.05,90.1
63515,Apollo16,Breccia,ImpactMelt,1.32,88.86
63525,Apollo16,Breccia,ImpactMelt,6.68,54.67
63526,Apollo16,Breccia,ImpactMelt,2.91,92.2
63527,Apollo16,Breccia,ImpactMelt,6.1,92.67
63528,Apollo16,Breccia,ImpactMelt,4.12,92.74
63529,Apollo16,Breccia,ImpactMelt,23.48,98.14
63535,Apollo16,Breccia,ImpactMelt,6.85,86.56
63536,Apollo16,Breccia,ImpactMelt,1.02,80.59
63537,Apollo16,Breccia,ImpactMelt,4.78,93.49
63538,Apollo16,Breccia,ImpactMelt,35.06,98.3
63539,Apollo16,Breccia,ImpactMelt,0.39,89.74
63545,Apollo16,Breccia,ImpactMelt,15.95,88.73
63546,Apollo16,Breccia,ImpactMelt,9.23,96.89
63547,Apollo16,Breccia,ImpactMelt,4.9,94.9
63548,Apollo16,Breccia,ImpactMelt,1.13,77.61
63549,Apollo16,Breccia,ImpactMelt,26.57,65.21
63555,Apollo16,Breccia,ImpactMelt,3.38,86.45
63556,Apollo16,Breccia,ImpactMelt,18.1,86.37
63557,Apollo16,Breccia,ImpactMelt,7.53,95.7
63558,Apollo16,Breccia,ImpactMelt,7.09,96.28
63559,Apollo16,Breccia,ImpactMelt,6.04,93.38
63565,Apollo16,Breccia,ImpactMelt,0.94,89.89
63566,Apollo16,Breccia,ImpactMelt,19.61,95.11
63567,Apollo16,Breccia,ImpactMelt,3.21,90.94
63568,Apollo16,Breccia,ImpactMelt,4.06,93.1
63569,Apollo16,Breccia,Unclassified,0.43,93.02
63575,Apollo16,Breccia,ImpactMelt,4.72,94.7
63576,Apollo16,Breccia,ImpactMelt,1.23,93.5
63577,Apollo16,Breccia,ImpactMelt,12.41,97.99
63578,Apollo16,Breccia,ImpactMelt,19.6,90.95
63579,Apollo16,Breccia,ImpactMelt,11.35,95.18
63585,Apollo16,Breccia,ImpactMelt,32.62,92.92
63586,Apollo16,Breccia,ImpactMelt,1.98,88.43
63587,Apollo16,Breccia,ImpactMelt,20.51,98.03
63588,Apollo16,Breccia,Fragmental,2.4,45.21
63589,Apollo16,Breccia,Fragmental,13.51,97.48
63595,Apollo16,Breccia,Fragmental,2.1,88.57
63596,Apollo16,Breccia,ImpactMelt,6.4,95.59
63597,Apollo16,Breccia,ImpactMelt,5.67,96.54
63598,Apollo16,Breccia,ImpactMelt,12.66,95.17
64001,Apollo16,Core,unsieved,752.3,78.53
64002,Apollo16,Core,unsieved,584.1,76.61
64420,Apollo16,Soil,Unsieved,112.2,98.49
64421,Apollo16,Soil,<1mm,206.9,75.83
64422,Apollo16,Soil,1-2mm,6.17,71.15
64423,Apollo16,Soil,2-4mm,3.76,72.63
64424,Apollo16,Soil,4-10mm,2.06,100
64425,Apollo16,Breccia,Fragmental,14.62,77.31
64435,Apollo16,Breccia,ImpactMelt,1079,90.85
64455,Apollo16,Breccia,ImpactMelt,56.68,24.52
64475,Apollo16,Breccia,ImpactMelt,1032,94.35
64476,Apollo16,Breccia,ImpactMelt,125.1,94.88
64477,Apollo16,Breccia,Fragmental,19.32,94.51
64478,Apollo16,Breccia,ImpactMelt,12.34,97.49
64500,Apollo16,Soil,Unsieved,320.6,95.82
64501,Apollo16,Soil,<1mm,495.7,83.59
64502,Apollo16,Soil,1-2mm,28.38,85.54
64503,Apollo16,Soil,2-4mm,24.11,88.83
64504,Apollo16,Soil,4-10mm,24.15,97.9
64505,Apollo16,Breccia,Fragmental,5.39,96.81
64506,Apollo16,Breccia,ImpactMelt,5.08,94.05
64507,Apollo16,Breccia,Unclassified,4.47,95.46
64508,Apollo16,Breccia,Unclassified,4.17,95.2
64509,Apollo16,Breccia,Fragmental,3.15,93.02
64515,Apollo16,Breccia,ImpactMelt,3.76,81.84
64516,Apollo16,Crustal,Anorthosite,2.93,94.23
64517,Apollo16,Breccia,Unclassified,1.55,94.83
64518,Apollo16,Breccia,ImpactMelt,1.49,92.62
64519,Apollo16,Crustal,Anorthosite,1.12,95.55
64525,Apollo16,Crustal,Anorthosite,1.11,86.72
64535,Apollo16,Breccia,ImpactMelt,256.6,98.37
64536,Apollo16,Breccia,ImpactMelt,177.5,96.74
64537,Apollo16,Breccia,ImpactMelt,124.3,96.83
64538,Apollo16,Breccia,ImpactMelt,30.03,99.16
64539,Apollo16,Breccia,Fragmental,17.76,98.03
64545,Apollo16,Breccia,Fragmental,14.09,97.01
64546,Apollo16,Breccia,Fragmental,12.8,98.59
64547,Apollo16,Breccia,ImpactMelt,10.9,96.51
64548,Apollo16,Breccia,Fragmental,8.49,96.58
64549,Apollo16,Breccia,Fragmental,6.47,96.6
64555,Apollo16,Breccia,Fragmental,5.29,99.62
64556,Apollo16,Breccia,Unclassified,5.15,96.27
64557,Apollo16,Breccia,ImpactMelt,4.79,98.33
64558,Apollo16,Breccia,Unclassified,3.13,94.38
64559,Apollo16,Breccia,ImpactMelt,21.82,98.79
64565,Apollo16,Breccia,ImpactMelt,14.73,98.1
64566,Apollo16,Breccia,ImpactMelt,14.13,96.08
64567,Apollo16,Breccia,ImpactMelt,13.86,80.38
64568,Apollo16,Breccia,ImpactMelt,9.38,98.15
